CLASIFICACIÓN ,DESCRIPCIÓN,CODIGO,MARCA,PROVEEDOR,N° PARTE,MODELO,COSTO UNITARIO,MONEDA,COSTO DE VENTAS,MONEDA
TARJETAS,TARJETA TDK-LAMBDA 64.5W 5V 15V 6A,,MOUSER ELECTRONICS,MOUSER ELECTRONICS,967-SWT65-5FF,SWT65-5FF,,,,
TARJETAS,Powerbox,,Medline,,OBN01316C,200W,$125.00,USD,,
TARJETAS,Servo drives para control LK2000 | EJE X /Y/Z,,-,,-,EJE X,,,,
TARJETAS,Tarjeta conteo bravo 4308 close estructure,,DEA 2500-02,,-,-,,,,
TARJETAS,Tarjeta interface SP25/600,,PANTEC,,33506,-,,,,
TARJETAS,Tarjerta fuente de voltaje rack secundario de control B6CS (ESTAMPADOS TOLUCA),,-,,-,-,,,,
TARJETAS,TARJETA DEA-BROWN & SHARPE SPA | ,,BROWN & SHARPE,,G56117005,,,,,
TARJETAS,TARJETA DEA-BROWN & SHARPE SPA | ,,BROWN & SHARPE,,G56117701,,,,,
TARJETAS,TARJETA DEA-BROWN & SHARPE SPA | ,,BROWN & SHARPE,,G56211002,,,,,
TARJETAS,TARJETA DEA-BROWN & SHARPE SPA | ,,BROWN & SHARPE,,G56116502,,,,,
TARJETAS,TARJETA DEA,,DEA,,G51506304-05-06-07,,,,,
TARJETAS,TARJETA DE SUPERIOR DEA G56128703-04-05-06,,DEA,,G56128703-04-05-06 / G56136200-01-02-03,-,,,,
TARJETAS,Tarjeta  PWM para control B3P-L2 ó B3C,,DEA,,DEA G51516101-02-03-04,-,$460.00,,,
MOTORES & TRANSMISIONES,BOBINA BELTRAMO,,A. BELTRAMO,ELECTROMECANICA A. BELTRAMO,INDF013,INDF013,,,,
MOTORES & TRANSMISIONES,MOTOR PARVEX EJE Y DEA BRAVO ,,PARVEX,,-,4308 CS,,,"$2,500.00",USD
MOTORES & TRANSMISIONES,Servo Motor ametek pittman 80 / A4180,,Ametek Pittman,AMETEKSINGAPORE PTE LTD,M5860585060612 TBV,16/19,$269.15,USD,"$1,200.00",USD
MOTORES & TRANSMISIONES,Servo Motor Glentek,,GLENTEK,,GM2340MC,GM2340-8-02000810,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,Servo Motor LK / T95-K0-M03-S0-B99,,LK,,MT22R2-24,-,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,Servo Motor Minertia Motor,,Minertia Motor,,R02SA2X3 / TG3VC,-,,,"$1,200.00",USD
MOTORES & TRANSMISIONES,Servo Motor Minertia Motor,,Minertia Motor,,UTOPI-100SC,-,,,"$1,200.00",USD
MOTORES & TRANSMISIONES,Servo Motor Parker,,Parker,,RS110MR1105,-,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,Servo Motor Parker,,Parker,,RS4304AR1149,-,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,Servo Motor Parvex,,Parvex,,RS440GR1132,-,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,PM Servo Motor ,,PM SERVO MOTOR,,2130T0000000TAA-AF,-,,,"$1,200.00",USD
MOTORES & TRANSMISIONES,Servo Motor Power Company ESA 2S 1214,,Motor Power Company,,1010302300001,-,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,Servo Motor Super L / SANYO DENKI,,SANYO DENKI,,L404-011EL8,-,,,"$2,000.00",USD
MOTORES & TRANSMISIONES,Sistema transmisión eje Z,,ACCURATE,,ACCURATE,-,,,,USD
MOTORES & TRANSMISIONES,Transmisiones,,-,,-,-,,,,USD
MOTORES & TRANSMISIONES,DC SERVOMOTOR BALDOR,,BALDOR,EBAY,MT-2250-SPL,52P105Z006G1,$239.39,USD,,USD
MOTORES & TRANSMISIONES,PM SERVO MOTOR,,SL-MTI | PM SERVO MOTOR,NRI INDUSTRIAL,MT3528-523CF,,$168.71,USD,800.00 USD,USD
MOTORES & TRANSMISIONES,TRANSMISIÓN EJE Z,,ACCURATE,ACCURATE,ACCURATE,-,,,,USD
MOTORES & TRANSMISIONES,SERVO MOTOR AMETEK PITTMAN,,AMETEK PITTMAN,,M58605850606 13 TPU,A4185,,,"$1,200.00",USD
MOTORES & TRANSMISIONES,SERVO MOTOR ROBBINS MYERS,,ROBBINS MYERS,,0586-24-024,E-586-SA,,,"$1,200.00",USD
MOTORES & TRANSMISIONES,SERVO MOTOR PARKER,,PARKER,,RS220FR1135,,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,Servo Motor Parker,,Parker,,RS440GAR1115,,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,Servo Motor Parker,,Parker,,RS410QR1176,,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,Servo Motor Parker,,Parker,,RS440GR1115,,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,SERVO MOTOR PARKER,,PARKER,TECNOINDUSTRIAL ,RS220FR1113,0.225Nm,"$11,556.13",MXN,"$1,800.00",USD
MOTORES & TRANSMISIONES,PM SERVO MOTOR | PARA CMM XCEL - MAGNA,,PM SERVO MOTOR,GREEN PENGUIN,MT2130-230AF,,$119.95,USD,"$1,200.00",USD
MOTORES & TRANSMISIONES,SERVO MOTOR SAN MOTION DC SERVO SYSTEMS / SANYO DENKI | MITUTOYO,,SANYO DENKI,EBAY,T506-051E57,T506-051E57,$150.00,USD,"$1,200.00",USD
MOTORES & TRANSMISIONES,SERVOMOTOR MAE (CMM GLOBAL),,MAE,,1100-0606-05PTU,M588,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,SERVOMOTOR MAE (CMM GLOBAL),,MAE,,M586 0535 0600 17TPU,1586,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,Servo Motor Automation Technology | ITEM: 275254768396,,Automation Technology,EBAY,MB057DT183-005,174000055,$100.00,,"$1,200.00",USD
MOTORES & TRANSMISIONES,Servo Motor Automation Technology | ITEM: 284747298122,,Automation Technology,EBAY,MB057DT385,3024057,$99.57,,"$1,200.00",USD
MOTORES & TRANSMISIONES,Servo Motor MAE,,MAE,EBAY,0585-0600-06TPU,M586,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,"PM SERVO MOTOR | PARA EJE X, Y DE SUPERIOR CMM DISCOVERY II CMC",,PM SERVO MOTOR,EBAY,2110T0000000TCM-DE,,$299.99,USD,"$1,200.00",USD
MOTORES & TRANSMISIONES,Servo Motor MAE | ITEM: NEW DO SANYO DENKI SERVOMOTOR V511T019 V511T-019 ZEISS 627203-805-000 | 384067482756,,MAE,EBAY,M586 0585 0600 18 TFJ,M586,$644.09,USD,"$1,200.00",USD
MOTORES & TRANSMISIONES,SERVOMOTOR SANYO DENKI T511T-204,,SANYO DENKI,ACCURATE,T511T-204,T511T-205,$870.00,USD,"$1,800.00",USD
MOTORES & TRANSMISIONES,SERVOMOTOR SANYO DENKI T720-164,,SANYO DENKI,ACCURATE,T720-164,T720-165,"$1,000.00",USD,"$1,800.00",USD
MOTORES & TRANSMISIONES,SERVOMOTOR ROBBINS MYERS 0586-24-024,,ROBBINS MYERS,-,0586-24-024,E-586-SA,,,"$1,200.00",USD
MOTORES & TRANSMISIONES,MB057DT183,,AUTOMATION TECHNOLOGY,GLN,MB057DT183,MB057DT183,,,"$1,800.00",USD
MOTORES & TRANSMISIONES,SERVOMOTOR AMETEK ,,AMETEK PITTMAN,M586 0585 0606 20 TEU,M586 0585 0606 20 TEU,,"$22,251.59",MXN,"$1,800.00",USD
ESCALA,ESCALA RSF,,RSF,-,-,,,,,
ESCALA,ESCALA CON LECTOR DEA,,DEA,-,-,,,,,
ESCALA,ESCALA DE CRISTAL RFS ELECTRONIKS ,,RSF ELECTRONIKS,-,D771G9999696 MSA670,D771G9999696 MSA670,,,,
ESCALA,ESCALA GHIBLI,,-,-,-,,,,,
ESCALA,ESCALA HEIDENHEIN EJE X 4308-095 TAP,,HEINDENHEIN,-,-,4308-095 TAP,,,,
ESCALA,RGC-F END CLAMP KIT,,RENISHAW,-,A-9523-4015-03-E,,$15.00,USD,$20.00,USD
ESCALA,RGP22S Limit Switch Actuator,,RENISHAW,-,A-9531-0251-03,,$11.25,USD,$20.00,USD
ESCALA,RGM22S REFERENCE MARK ACTUATOR,,RENISHAW,-,A-9531-0250-04,W0007304,$13.50,USD,$20.00,USD
ESCALA,RGS20-S SCALE 20M LONG SCALE / ADHSIVE POLY,,RENISHAW,-,A-9523-8020-03,20000 mm,-,,$450.00,USD
LECTORES,Lector LIDA17D,,HEINDENHAIN,,-,LIDA17D,,,,
LECTORES,Lector LIDA 18C,,HEINDENHAIN,,384 323-01,Lector LIDA 18C,,,,
LECTORES,Lector LIDA 19P/100,,HEINDENHAIN,,233 042 13,Lector LIDA 19P/100,,,,
LECTORES,LECTOR ESPECIAL DE IMS | LECTOR 1 | FALTAN PRUEBAS EN CMM,,IMS,INNOVTION METROLOGY SOLUTION,-,INNOVTION METROLOGY SOLUTION,$30.00,USD,,
LECTORES,LECTORES RGH22B5L00B | ANÁLOGO |  FUNCIONAL USADO,,RENISHAW,,-,-,,,,
LECTORES,LECTORES RGH22R10D00A | RGH22 0.5 um 1m cable 15 w-D D/L,,RENISHAW,,RGH22R10D00A,RGH22R10D00A,$476.25,USD,$750.00,USD
LECTORES,LECTOR RSF,,RSF ELECTRONIKS ,,MSA 670.73,D771G0199900,,,,
LECTORES,LECTOR RSF,,RSF ELECTRONIKS ,,MSA 671.73,D792E0199900,,,,
LECTORES,LECTOR RSF,,RSF ELECTRONIKS ,,MSA 370.73,D756G0199900,,,,
LECTORES,LECTOR RSF,,RSF ELECTRONIKS ,,MS 26.94-2M,800742-01,,,,
LECTORES,LECTOR RSF,,RSF ELECTRONIKS ,,MS 26.74-2M,-,,,,
BANDA,BANDA POWERGRIP HTDLL-5M-50-STEEL,-,,POWERGRIP,-,-,,,,
BANDA,BANDA NEGRA HTD 50 LL-5M STEEL (COMPLETA L=20M A=50MM),-,,WALTHER FLENDER GMBH,-,-,,,,
BANDA,Banda Negra / Dentada / HTD 3M-384 / A=10MM L=384MM |,-,,JASON,HTD 3M-384,-,,,,
BANDA,BANDA NEGRA HTD 50 LL-5M 68 | A=50MM L=14 MTS | STEEL,-,,Walther Flender GmbH,-,-,,,,
BANDA,BANDA A=47mm L=1200mm 20 COTILLAS| 1200J | 3 349,BND1,POGGI,,-,-,,,,
BANDA,BANDA JASON 180 J A=11 MM L= 450MM | 5 COSTILLAS| 16 011 | HILO,BND2,JASON,,-,-,,,,
